BreedName,AltBreedName,Group1,Group2,MaleWtKg,Temperment,Watchdog,Type of home required ,Barking ability,Kid friendly,Eating habits,Independence ,activity level,Shedding,BreedName
Gull Dong,,,,,,,,,,,,,,Gull Dong
Gull terrier,,,,,,,,,,,,,,Gull terrier
Harrier,,Hound,Scenthound,22,"Active, Cheerful, Friendly, Outgoing, Sweet-tempered, Tolerant",no,,,,,,,,Harrier
Havanese,,Toy,Companion,5,"Affectionate, Companionable, Gentle, Intelligent, Playful, Responsive",no,,,,,,,,Havanese
Hound,,Hound,Scenthound,32,"Independent, Intelligent, Kind, Loving, Loyal, Sweet-tempered",no,,,,,,,,Hound
Hovawart,,Working,Guardian,38,"Watchful, Even-tempered, Reserved, Active, Devoted",yes,,,,,,,,Hovawart
Husky,,Working,Northern,24,"Alert, Friendly, Gentle, Intelligent, Outgoing",no,,,,,,,,Husky
Ibizan Hound,,Hound,Sight,22,"Active, Clownish, Engaging, Independent, Intelligent, Stubborn",no,,,,,,,,Ibizan Hound
Illyrian Sheepdog,,Herding,Herding,40,"Independent, Reliable, Devoted, Protective",yes,,,,,,,,Illyrian Sheepdog
Indian Mastif,Bully Kutta,,,,,,,,,,,,,Indian Mastif
Indian Pariah Dog,,,,,,,,,,,,,,Indian Pariah Dog
Indian Spitz,,,,,,,,,,,,,,Indian Spitz
Irish Setter,,Sporting,Gun,32,"Affectionate, Companionable, Energetic, Independent, Lively, Playful, Intelligent",no,,,,,,,,Irish Setter
Irish Terrier,,Terrier,Terrier,12,"Dominant, Intelligent, Lively, Protective, Respectful, Trainable",yes,,,,,,,,Irish Terrier
Irish Water Spaniel,,Sporting,Gun,25,"Active, Alert, Clownish, Inquisitive, Intelligent, Quick",no,,,,,,,,Irish Water Spaniel
Irish Wolfhound,,Hound,Scenthound,55,"Dignified, Generous, Loyal, Patient, Sweet-tempered, Thoughtful, Intelligent",no,,,,,,,,Irish Wolfhound
Italian Greyhound,,Toy,Companion,4,"Affectionate, Agile, Athletic, Companionable, Intelligent, Mischevious",no,,,,,,,,Italian Greyhound
Italian Spinone,,Sporting,Gun,33,"Friendly, Loyal, Affectionate, Docile, Gentle, Patient",no,,,,,,,,Italian Spinone
Jack Russell Terrier,,Terrier,Terrier,7,"Alert, Cheerful, Courageous, Energetic, Independent",yes,,,,,,,,Jack Russell Terrier
Jack Russell Terrier (Parson Russell Terrier),,Terrier,Terrier,7,"Energetic, Bold, Eager, Happy, Intelligent, Obedient",no,,,,,,,,Jack Russell Terrier (Parson Russell Terrier)
Japanese Chin,Japanese Spaniel,Toy,Companion,5,"Alert, Cat-like, Independent, Intelligent, Loving, Loyal, Playful",no,,,,,,,,Japanese Chin
Jindo,,Sporting,Northern,20,"Active, Bold, Brave, Faithful, Intelligent, Loyal",yes,,,,,,,,Jindo
Jonangi,,,,,,,,,,,,,,Jonangi
Kai Dog,,Non Sporting,Northern,18,"Intelligent, Agile, Alert, Brave",yes,,,,,,,,Kai Dog
Kanni,Chippiparai,,,,,,,,,,,,,Kanni
Karelian Bear Dog,,Sporting,Northern,22,"Brave, Cautious, Loyal, Independent, Tenacious, Territorial",yes,,,,,,,,Karelian Bear Dog
Keeshond,,Non Sporting,Northern,18,"Agile, Bright, Obedient, Playful, Quick, Sturdy, Intelligent",yes,,,,,,,,Keeshond
Kerry Blue Terrier,,Terrier,Terrier,17,"Affectionate, Alert, Gentle, Loyal, Spirited, Strong-willed, Intelligent",yes,,,,,,,,Kerry Blue Terrier
Kishu,,Sporting,Northern,20,"Alert, Dignified, Docile, Faithful, Noble",yes,,,,,,,,Kishu
Klee Kai,,Non Sporting,Northern,7,"Active, Agile, Curious, Intelligent, Loyal, Quick, Territorial",yes,,,,,,,,Klee Kai
Kombai,Combai,,,,,,,,,,,,,Kombai
Komondor,,Working,Guardian,59,"Affectionate, Calm, Fearless, Gentle, Independent, Steady",yes,,,,,,,,Komondor
Kumaon Mastiff,,,,,,yes,,,,,,,,Kumaon Mastiff
Kuvasz,,Working,Guardian,49,"Clownish, Independent, Intelligent, Loyal, Patient, Protective",yes,,,,,,,,Kuvasz
Kyi Leo,,Non Sporting,Companion,5,"Active, Calm, Forgiving, Obedient, Playful, Quiet",no,,,,,,,,Kyi Leo
Labrador Retriever,,Sporting,Gun,32,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",no,,,,,,,,Labrador Retriever
Lakeland Terrier,,Terrier,Terrier,8,"Independent, Bold, Confident, Friendly, Intelligent, Trainable",no,,,,,,,,Lakeland Terrier
Lancashire Heeler,,Herding,Herding,5,"Alert, Clever, Friendly, Intelligent",no,,,,,,,,Lancashire Heeler
Leonberger,,Working,Guardian,64,"Adaptable, Companionable, Fearless, Loving, Loyal, Obedient",yes,,,,,,,,Leonberger
Lhasa Apso,,Non Sporting,Companion,6,"Alert, Assertive, Devoted, Friendly, Intelligent, Lively, Obedient, Playful, Spirited, Steady",no,,,,,,,,Lhasa Apso
Lowchen,,Non Sporting,Companion,6,"Active, Familial, Friendly, Happy, Playful",no,,,,,,,,Lowchen
Mahratta Greyhound,,,,,,,,,,,,,,Mahratta Greyhound
Maltese,Maltese Dog,Toy,Companion,4,"Active, Docile, Easygoing, Gentle, Intelligent, Playful, Responsive, Sweet-tempered",no,,,,,,,,Maltese
Manchester Terrier,,Terrier,Terrier,6,"Active, Alert, Devoted, Discerning, Quiet, Loyal, Intelligent",no,,,,,,,,Manchester Terrier
Maremma Sheepdog,,Working,Guardian,38,"Alert, Determined, Dignified, Friendly, Intelligent, Loyal",yes,,,,,,,,Maremma Sheepdog
Mastiff,,Working,Guardian,90,"Affectionate, Alert, Cheerful, Courageous, Intelligent, Loyal, Protective",yes,,,,,,,,Mastiff
McNab,,Herding,Herding,23,"Friendly, Hard-working, Obedient, Protective, Sociable, Well-mannered",no,,,,,,,,McNab
Miniature Pinscher,,Toy,Companion,5,"Clever, Energetic, Friendly, Outgoing, Playful, Responsive, Intelligent",no,,,,,,,,Miniature Pinscher
Mountain Cur,,Working,Scenthound,20,"Intelligent, Protective",yes,,,,,,,,Mountain Cur
Mountain Dog,,Working,Guardian,44,"Affectionate, Faithful, Intelligent, Loyal",yes,,,,,,,,Mountain Dog
Mudhold Hound,,,,,,,,,,,,,,Mudhold Hound
Munsterlander,,Sporting,Gun,20,"Intelligent, Trainable, Attentive, Mischevious",no,,,,,,,,Munsterlander
Neapolitan Mastiff,,Working,Guardian,60,"Protective, Dominant, Fearless, Obedient, Stubborn, Trainable",yes,,,,,,,,Neapolitan Mastiff
New Guinea Singing Dog,,Southern,Southern,11,"Active, Affectionate, Alert, Gentle, Lively",no,,,,,,,,New Guinea Singing Dog
Newfoundland Dog,Newfoundland,Working,Guardian,65,"Cheerful, Courageous, Intelligent, Loyal, Social, Sweet, Gentle",yes,,,,,,,,Newfoundland Dog
Norfolk Terrier,,Terrier,Terrier,5,"Companionable, Fearless, Happy, Lovable, Self-confident, Spirited, Intelligent",no,,,,,,,,Norfolk Terrier
Norwegian Buhund,,Herding,Northern,16,"Agile, Courageous, Energetic, Friendly, Fun-loving",yes,,,,,,,,Norwegian Buhund
Norwegian Elkhound,,Hound,Northern,26,"Alert, Bold, Hardy, Loyal, Playful, Strong-willed, Intelligent",yes,,,,,,,,Norwegian Elkhound
Norwegian Lundehund,,Non Sporting,Northern,8,"Alert, Energetic, Loyal, Protective",yes,,,,,,,,Norwegian Lundehund
Norwich Terrier,,Terrier,Terrier,5,"Affectionate, Energetic, Hardy, Intelligent, Sensitive",no,,,,,,,,Norwich Terrier
Nova Scotia Duck-Tolling Retriever,,Sporting,Gun Dogs,20,"Affectionate, Alert, Courageous, Energetic, Gentle, Playful, Responsive",yes,,,,,,,,Nova Scotia Duck-Tolling Retriever
Old English Sheepdog,,Herding,Herding,39,"Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective",yes,,,,,,,,Old English Sheepdog
Otterhound,,Hound,Scenthound,41,"Amiable, Boisterous, Even-tempered",no,,,,,,,,Otterhound
Pandikona,,,,,,yes,,,,,,,,Pandikona
Papillon,,Toy,Companion,5,"Alert, Energetic, Friendly, Happy, Hardy, Intelligent",no,,,,,,,,Papillon
Patterdale Terrier (Fell Terrier),,Terrier,Terrier,6,"Bold, Confident, Energetic, Friendly, Inquisitive, Intelligent",no,,,,,,,,Patterdale Terrier (Fell Terrier)
Pekingese,,Toy,Companion,4,"Affectionate, Aggressive, Good-natured, Intelligent, Opinionated, Stubborn",no,,,,,,,,Pekingese
Peruvian Inca Orchid,,Hound,Sight,10,"Affectionate, Alert, Intelligent, Lively, Noble, Protective",yes,,,,,,,,Peruvian Inca Orchid
Petit Basset Griffon Vendeen,,Hound,Scenthound,16,"Active, Extroverted, Friendly, Happy, Independent, Lively, Intelligent",no,,,,,,,,Petit Basset Griffon Vendeen
Pharaoh Hound,,Hound,Sight,23,"Active, Affectionate, Intelligent, Playful, Sociable, Trainable",no,,,,,,,,Pharaoh Hound
Pit Bull Terrier,,Terrier,Terrier,23,"Affectionate, Aggressive, Clownish, Courageous, Friendly, Intelligent, Loyal, Obedient, Strong-willed, Stubborn",no,,,,,,,,Pit Bull Terrier
Plott Hound,,Hound,Scenthound,26,"Alert, Bold, Courageous, Loyal",no,,,,,,,,Plott Hound
Podengo Portugueso,,Hound,Sight,5,"Active, Companionable, Friendly, Hardy, Lively, Loyal",no,,,,,,,,Podengo Portugueso
Pointer,,Sporting,Gun,25,"Active, Affectionate, Amiable, Even-tempered, Kind, Loyal, Intelligent",yes,,,,,,,,Pointer
Polish Lowland Sheepdog,,Herding,Herding,19,"Agile, Even-tempered, Lively, Perceptive, Self-confident",yes,,,,,,,,Polish Lowland Sheepdog
Pomeranian,,Toy,Companion,2,"Active, Extroverted, Friendly, Intelligent, Lively, Playful, Sociable",no,,,,,,,,Pomeranian
Poodle,,Non Sporting,Gun,26,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",yes,,,,,,,,Poodle
Standard Poodle,,Non Sporting,Gun,26,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",yes,,,,,,,,Standard Poodle
Miniature Poodle,,Toy,Companion,8,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",yes,,,,,,,,Miniature Poodle
Toy Poodle,,Toy,Companion,4,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",yes,,,,,,,,Toy Poodle
Portuguese Water Dog,,Working,Gun,22,"Brave, Docile, Impetuous, Intelligent, Obedient, Quarrelsome",yes,,,,,,,,Portuguese Water Dog
Presa Canario,,Working,Guardian,40,"Calm, Dominant, Gentle, Strong-willed, Suspicious",yes,,,,,,,,Presa Canario
Pug,,Toy,Companion,8,"Affectionate, Cheerful, Courageous, Gentle, Intelligent, Friendly, Outgoing, Playful, Loyal",no,,,,,,,,Pug
Puli,,Herding,Herding,14,"Agile, Energetic, Faithful, Intelligent, Loyal, Obedient",yes,,,,,,,,Puli
Pumi,,Herding,Herding,13,"Active, Intelligent, Lively, Protective, Reserved, Vocal",no,,,,,,,,Pumi
Rampur greyhound,,,,,,yes,,,,,,,,Rampur greyhound
Rajapalayam,,,,,,yes,,,,,,,,Rajapalayam
Rat Terrier,,Terrier,Terrier,11,"Affectioante, Alert, Inquisitive, Lively, Loving",no,,,,,,,,Rat Terrier
Redbone Coonhound,Redbone,Hound,Scenthound,28,"Affectionate, Companionable, Energetic, Familial, Independent, Unflappable",no,,,,,,,,Redbone Coonhound
Retriever,,Sporting,Gun,32,"Confident, Friendly, Intelligent, Kind, Reliable, Trustworthy",no,,,,,,,,Retriever
Rhodesian Ridgeback,,Hound,Sight,39,"Dignified, Intelligent, Loyal, Mischevious, Sensitive, Strong-willed",no,,,,,,,,Rhodesian Ridgeback
Rottweiler,,Working,Guardian,51,"Alert, Courageous, Fearless, Good-natured, Independent, Intelligent, Loyal, Protective",yes,,,,,,,,Rottweiler
Saint Bernard,,Working,Guardian,66,"Friendly, Gentle, Independent, Intelligent, Outgoing, Quiet, Social",no,,,,,,,,Saint Bernard
Saluki,,Hound,Sight,21,"Aloof, Intelligent, Quiet, Reserverd, Loyal",no,,,,,,,,Saluki
Samoyed,,Working,Northern,26,"Alert, Lively, Friendly, Intelligent, Playful, Sociable, Stubborn",yes,,,,,,,,Samoyed
Sarplaninac,,Working,Guardian,33,"Independent, Calm, Devoted, Intelligent, Protective, Reliable",yes,,,,,,,,Sarplaninac
Schipperke,,Non Sporting,Companion,7,"Agile, Confident, Curious, Faithful, Fearless, Independent, Intelligent",no,,,,,,,,Schipperke
Miniature Schnauzer,,Terrier,Companion,8,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",no,,,,,,,,Miniature Schnauzer
Schnauzer,Standard Schnauzer,Working,Herding,17,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",yes,,,,,,,,Schnauzer
Giant Schnauzer,,Working,Herding,31,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",yes,,,,,,,,Giant Schnauzer
Scottish Deerhound,,Hound,Sight,42,"Dignified, Docile, Friendly, Gentle, Polite, Quiet",no,,,,,,,,Scottish Deerhound
Scottish Terrier Scottie,Scotch Terrier,Terrier,Terrier,9,"Independent, Fiesty, Alert, Playful, Quick, Self-assured",no,,,,,,,,Scottish Terrier Scottie
Sealyham Terrier,,Terrier,Terrier,9,"Alert, Calm, Even-tempered, Fearless, Friendly, Intelligent",no,,,,,,,,Sealyham Terrier
Setter,,Sporting,Gun,30,"Strong-willed, Mischevious, Gentle, Energetic, Intelligent",no,,,,,,,,Setter
Shar Pei,,Non Sporting,Northern,22,"Affectionate, Devoted, Independent, Loving, Reserved, Suspicious",no,,,,,,,,Shar Pei
Sheep Dog,,Herding,Herding,39,"Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective",yes,,,,,,,,Sheep Dog
Shepherd,,Herding,Herding,35,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",yes,,,,,,,,Shepherd
Shetland Sheepdog Sheltie,Shetland Sheepdog,Herding,Herding,9,"Affectionate, Friendly, Gentle, Intelligent, Lively, Playful, Responsive",yes,,,,,,,,Shetland Sheepdog Sheltie
Shiba Inu,,Non Sporting,Companion,10,"Alert, Charming, Confident, Faithful, Fearless, Keen, Outgoing",yes,,,,,,,,Shiba Inu
Shih Tzu,,Toy,Companion,6,"Active, Courageous, Friendly, Gentle, Happy, Intelligent, Lively, Outgoing, Playful",no,,,,,,,,Shih Tzu
Siberian Husky,,Working,Northern,24,"Alert, Friendly, Gentle, Intelligent, Outgoing",no,,,,,,,,Siberian Husky
Silky Terrier,,Toy,Terrier,5,"Alert, Friendly, Inquisitive, Joyful, Quick, Responsive, Intelligent",no,,,,,,,,Silky Terrier
Skye Terrier,,Terrier,Terrier,17,"Loyal, Fearless, Friendly, Good-tempered, Intelligent",yes,,,,,,,,Skye Terrier
Sloughi,,Hound,Sight,28,"Alert, Faithful, Intelligent, Sensitive, Independent, Playful, Sweet",yes,,,,,,,,Sloughi
Smooth Fox Terrier,,Terrier,Terrier,8,"Active, Affectionate, Alert, Fearless, Intelligent, Playful",no,,,,,,,,Smooth Fox Terrier
South Russian Ovtcharka,,Herding,Herding,49,"Active, Balanced, Courageous, Lively, Nervous",yes,,,,,,,,South Russian Ovtcharka
Spaniel,,Sporting,Gun,10,"Even Tempered, Joyful, Merry, Outgoing, Intelligent, Sociable, Trusting",no,,,,,,,,Spaniel
Spitz,,Non Sporting,Northern,8,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",yes,,,,,,,,Spitz
Staffordshire Bull Terrier,Staffordshire Bullterrier,Terrier,Terrier,14,"Affectionate, Bold, Courageous, Fearless, Intelligent, Reliable",no,,,,,,,,Staffordshire Bull Terrier
Sussex Spaniel,,Sporting,Gun,19,"Calm, Cheerful, Companionable, Devoted, Friendly, Sociable",no,,,,,,,,Sussex Spaniel
Swedish Vallhund,,Herding,Herding,13,"Alert, Energetic, Fearless, Friendly, Watchful",yes,,,,,,,,Swedish Vallhund
Terrier,,Terrier,Terrier,8,"Affectionate, Alert, Courageous, Intelligent, Friendly, Hardy, Independent",no,,,,,,,,Terrier
Thai Ridgeback,,Hound,Sight,28,"Familial, Independent, Loving, Loyal, Protective",no,,,,,,,,Thai Ridgeback
Tibetan Mastiff,,Working,Guardian,71,"Aloof, Protective, Strong-willed, Stubborn, Courageous, Loyal",yes,,,,,,,,Tibetan Mastiff
Tibetan Spaniel,,Non Sporting,Companion,6,"Intelligent, Assertive, Aloof, Happy, Independent, Willful",yes,,,,,,,,Tibetan Spaniel
Tibetan Terrier,,Non Sporting,Companion,10,"Affectionate, Amiable, Energetic, Gentle, Reserved, Sensitive, Intelligent",no,,,,,,,,Tibetan Terrier
Tosa Inu,,Working,Guardian,65,"Aggressive, Brave, Fearless, Intelligent, Sensitive, Suspicious",yes,,,,,,,,Tosa Inu
Toy Fox Terrier,Toy Terrier,Toy,Terrier,2,"Alert, Friendly, Intelligent, Loyal, Playful, Spirited",no,,,,,,,,Toy Fox Terrier
Treeing Walker Coonhound,Walker Hound,Hound,Scenthound,28,"Affectionate, Clever, Confident, Loving, Trainable",no,,,,,,,,Treeing Walker Coonhound
Vanjari Hound,,,,,,yes,,,,,,,,Vanjari Hound
Vikhan Sheepdog,,,,,,yes,,,,,,,,Vikhan Sheepdog
Vizsla,,Sporting,Gun,21,"Affectionate, Cheerful, Energetic, Gentle, Intelligent, Playful, Protective, Quiet",no,,,,,,,,Vizsla
Weimaraner,,Sporting,Gun,29,"Alert, Aloof, Energetic, Fast, Intelligent, Powerful, Steady, Stubborn, Social",no,,,,,,,,Weimaraner
Welsh Corgi,,Herding,Herding,13,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",yes,,,,,,,,Welsh Corgi
Cardigan,,Herding,Herding,16,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",yes,,,,,,,,Cardigan
Pembroke,,Herding,Herding,12,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",yes,,,,,,,,Pembroke
Welsh Springer Spaniel,,Sporting,Gun,18,"Affectionate, Loyal, Active, Friendly, Playful, Stubborn, Intelligent",yes,,,,,,,,Welsh Springer Spaniel
Welsh Terrier,,Terrier,Terrier,9,"Alert, Friendly, Intelligent, Spirited, Independent, Loving",no,,,,,,,,Welsh Terrier
West Highland White Terrier Westie,West Highland White Terrier,Terrier,Terrier,8,"Affectionate, Alert, Courageous, Intelligent, Friendly, Hardy, Independent",no,,,,,,,,West Highland White Terrier Westie
Wheaten Terrier,Soft Coated Wheaten Terrier,Terrier,Terrier,18,"Affectionate, Energetic, Faithful, Intelligent, Playful, Spirited",yes,,,,,,,,Wheaten Terrier
Whippet,,Hound,Sight,16,"Affectionate, Friendly, Gentle, Intelligent, Lively, Quiet",no,,,,,,,,Whippet
White German Shepherd,,Herding,Herding,35,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",yes,,,,,,,,White German Shepherd
Wire Fox Terrier,Wire Haired Fox Terrier,Terrier,Terrier,7,"Alert, Bold, Fearless, Friendly, Keen, Quick, Intelligent",no,,,,,,,,Wire Fox Terrier
Wire-haired Pointing Griffon,,Sporting,Gun,25,"Gentle, Loyal, Proud, Trainable, Vigilant, Intelligent",yes,,,,,,,,Wire-haired Pointing Griffon
Wirehaired Terrier,,Terrier,Terrier,7,"Alert, Bold, Fearless, Friendly, Keen, Quick, Intelligent",no,,,,,,,,Wirehaired Terrier
Xoloitzcuintle/Mexican Hairless,Mexican Hairless,Non Sporting,Sight,11,"Aleret, Calm, Cheerful, Companionable, Loyal, Protective",no,,,,,,,,Xoloitzcuintle/Mexican Hairless
Yellow Labrador Retriever,,Sporting,Gun,32,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",no,,,,,,,,Yellow Labrador Retriever
Yorkshire Terrier Yorkie,Yorkshire Terrier,Toy,Companion,3,"Alert, Courageous, Energetic, Independent, Intelligent, Loyal, Playful",no,,,,,,,,Yorkshire Terrier Yorkie
